Sample	Csource	Timepoint	Run
Ac1.t0	Acetate	Start	Run1
Ac1.t14	Acetate	Intermediate	Run1
Ac1.t26	Acetate	End	Run1
Ac2.t0	Acetate	Start	Run2
Ac2.t12	Acetate	Intermediate	Run2
Ac2.t25	Acetate	End	Run2
Bc1.t0	Bicarbonate	Start	Run1
Bc1.t26	Bicarbonate	End	Run1
Bc1.t7	Bicarbonate	Intermediate	Run1
Bc2.t0	Bicarbonate	Start	Run2
Bc2.t13	Bicarbonate	Intermediate	Run2
Bc2.t26	Bicarbonate	End	Run2
Fo1.t0	Formate	Start	Run1
Fo1.t23	Formate	Intermediate	Run1
Fo1.t26	Formate	End	Run1
Fo2.t0	Formate	Start	Run2
Fo2.t12	Formate	Intermediate	Run2
Fo2.t25	Formate	End	Run2
G1.t0	Glycine	Start	Run1
G1.t16	Glycine	Intermediate	Run1
G1.t26	Glycine	End	Run1
G2.t0	Glycine	Start	Run2
G2.t26	Glycine	End	Run2
INOC1	Inoculum	Inoculum	Inoculum
INOC2	Inoculum	Inoculum	Inoculum
			
